"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"58","-101.19932556152344","-101.19932556152344","-101.19932556152344","25.280868530273438","25.280868530273438","25.280868530273438","5.505461692810059","5.505461692810059","5.505461692810059","5.448773384094238","5.448773384094238","5.448773384094238","-32.923240661621094","-32.923240661621094","-32.923240661621094"
"59","-133.192138671875","-133.192138671875","-133.192138671875","8.042818069458008","8.042818069458008","8.042818069458008","3.77447772026062","3.77447772026062","3.77447772026062","144.72447204589844","144.72447204589844","144.72447204589844","30.462596893310547","30.462596893310547","30.462596893310547"
"60","-171.74517822265625","-171.74517822265625","-171.74517822265625","22.444839477539062","22.444839477539062","22.444839477539062","-13.91917896270752","-13.91917896270752","-13.91917896270752","-24.2821044921875","-24.2821044921875","-24.2821044921875","-65.0138168334961","-65.0138168334961","-65.0138168334961"
"61","-176.02169799804688","-176.02169799804688","-176.02169799804688","28.468669891357422","28.468669891357422","28.468669891357422","1.4620308876037598","1.4620308876037598","1.4620308876037598","-22.946739196777344","-22.946739196777344","-22.946739196777344","-232.27940368652344","-232.27940368652344","-232.27940368652344"
"62","-102.55563354492188","-102.55563354492188","-102.55563354492188","4.3396406173706055","4.3396406173706055","4.3396406173706055","13.234394073486328","13.234394073486328","13.234394073486328","-30.79913902282715","-30.79913902282715","-30.79913902282715","-103.19680786132812","-103.19680786132812","-103.19680786132812"
"63","-140.57846069335938","-140.57846069335938","-140.57846069335938","-14.921982765197754","-14.921982765197754","-14.921982765197754","23.651336669921875","23.651336669921875","23.651336669921875","-24.28045082092285","-24.28045082092285","-24.28045082092285","10.141122817993164","10.141122817993164","10.141122817993164"
"64","-102.49541473388672","-102.49541473388672","-102.49541473388672","15.55057430267334","15.55057430267334","15.55057430267334","37.26457595825195","37.26457595825195","37.26457595825195","4.751840114593506","4.751840114593506","4.751840114593506","99.05184173583984","99.05184173583984","99.05184173583984"
"65","-27.037647247314453","-27.037647247314453","-27.037647247314453","9.900551795959473","9.900551795959473","9.900551795959473","58.45288848876953","58.45288848876953","58.45288848876953","-102.21041107177734","-102.21041107177734","-102.21041107177734","166.53948974609375","166.53948974609375","166.53948974609375"
"66","-150.09747314453125","-150.09747314453125","-150.09747314453125","19.762685775756836","19.762685775756836","19.762685775756836","82.70471954345703","82.70471954345703","82.70471954345703","3.020570755004883","3.020570755004883","3.020570755004883","132.34767150878906","132.34767150878906","132.34767150878906"
"67","-38.352081298828125","-38.352081298828125","-38.352081298828125","0.24977989494800568","0.24977989494800568","0.24977989494800568","49.55238723754883","49.55238723754883","49.55238723754883","-8.554811477661133","-8.554811477661133","-8.554811477661133","-56.42962646484375","-56.42962646484375","-56.42962646484375"
